House_ID,City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Carpet_Area_sqft,Floor_No,Total_Floors,Property_Age_years,Parking,Furnishing,Lift,Gated_Society,Distance_to_Metro_km,Distance_to_CityCenter_km,Nearby_School_km,Nearby_Hospital_km,Crime_Rate_Index,Market_Price_INR,Price_per_sqft_INR
61,Nagpur,Mid,1,1,614.3,438.4,3,16,12,0,Fully-Furnished,1,0,6.61,9.23,3.81,5.08,39.3,2914180,4744
62,Nagpur,Premium,4,5,1626.3,1230.7,2,5,9,1,Unfurnished,0,1,7.54,6.38,1.68,1.86,7,12516264,7696
63,Bangalore,Budget,1,1,635,445.5,3,18,10,0,Unfurnished,1,1,2.88,20.09,4.37,3.46,65.2,3609179,5684
64,Pune,Budget,1,1,596.1,434.3,7,14,19,0,Semi-Furnished,1,1,0.2,18.47,2.62,2.79,79.6,2858259,4795
65,Mumbai,Premium,3,2,1232.5,904.3,1,18,1,1,Semi-Furnished,1,1,0.2,13.13,2.56,2.19,14.2,26079777,21160
66,Bangalore,Premium,4,5,1905.5,1595.1,19,22,18,1,Unfurnished,1,1,0.2,1.65,1.22,2.79,27,25006556,13123
67,Pune,Mid,1,3,569.6,439.8,10,12,4,1,Semi-Furnished,1,1,4.15,6.83,2.75,4.81,46.1,5627368,9880
68,Mumbai,Mid,2,2,960.4,779.1,14,15,1,1,Unfurnished,1,0,0.2,15.96,2.83,3.8,48.2,13140495,13682
69,Nagpur,Mid,2,2,1012.8,786.6,7,8,7,1,Semi-Furnished,1,1,2.55,15.81,2.05,4.08,41.6,4895051,4833
70,Mumbai,Mid,2,3,851.7,682.3,16,17,3,0,Unfurnished,1,0,0.75,22.7,3.25,2.13,42.2,11119694,13056
71,Hyderabad,Mid,1,2,406.7,304.8,8,18,10,1,Semi-Furnished,1,1,0.62,15.02,2.33,0.3,44.6,3136383,7712
72,Nagpur,Budget,1,1,553.5,401.2,0,3,14,0,Semi-Furnished,0,0,0.2,27.4,3.38,2.35,63,1630295,2945
73,Pune,Mid,3,3,1306.4,970.3,12,20,5,1,Semi-Furnished,1,1,0.2,15.76,2.65,4.04,23.2,10649726,8152
74,Nagpur,Mid,3,4,1320.3,1030.3,4,24,7,1,Semi-Furnished,1,1,8.62,7.81,3.19,1.97,51.2,8200255,6211
75,Mumbai,Budget,2,2,1106.6,753.8,1,16,8,1,Fully-Furnished,1,1,0.74,25.17,4.25,2.42,68.3,14091935,12734
76,Hyderabad,Budget,3,3,1009.2,681.6,15,16,13,0,Semi-Furnished,1,0,0.87,2.8,3.6,1.55,55.9,5989638,5935
77,Mumbai,Budget,2,2,1059.6,696.2,18,20,21,1,Fully-Furnished,1,0,0.85,27.1,3.56,3.31,49.2,12527621,11823
78,Nagpur,Mid,2,3,854.8,661.2,0,3,16,1,Unfurnished,1,1,4.06,19.83,2.54,2.71,45.9,3733691,4368
79,Bangalore,Mid,2,3,970.7,663.7,13,17,3,1,Unfurnished,1,1,0.2,0.5,4.15,2.07,45.6,10013846,10316
80,Mumbai,Mid,1,3,650.1,539.1,3,15,6,0,Unfurnished,1,0,6.1,13.31,2.91,5.5,45.6,9551008,14692
81,Nagpur,Mid,2,3,904.3,721,2,3,3,1,Semi-Furnished,1,0,3.67,12.86,5.32,0.96,38.1,4768388,5273
82,Pune,Mid,3,3,1366.6,936.2,4,18,0,1,Unfurnished,1,1,0.2,10.26,2.38,1.45,45.2,12399402,9073
83,Hyderabad,Mid,3,3,1448.8,992.8,4,13,5,0,Unfurnished,1,1,3.29,17.29,0.4,0.64,44.1,11209993,7737
84,Bangalore,Mid,3,2,837.5,693.5,7,17,5,1,Semi-Furnished,1,1,2.61,17.7,3.17,4.37,30.4,7614683,9092
85,Mumbai,Budget,2,2,1063.8,880.8,2,22,9,0,Semi-Furnished,1,1,2.29,23.31,1.92,2.99,49.2,12303344,11565
86,Hyderabad,Mid,2,3,987.4,694.1,5,12,9,0,Unfurnished,1,1,1.82,7.02,3.68,0.78,42.3,7788234,7888
87,Hyderabad,Mid,3,2,1254.4,958.7,3,3,15,1,Unfurnished,0,1,0.2,4.27,3.93,1.62,37.4,9498191,7572
88,Nagpur,Mid,3,3,1317.9,962.9,0,11,17,0,Semi-Furnished,1,1,3.38,5.47,4.43,3.71,44,7953549,6035
89,Hyderabad,Mid,2,2,908.5,762,16,17,3,1,Semi-Furnished,1,1,3.85,18.57,3.03,4.58,18.6,6374083,7016
90,Mumbai,Budget,2,2,915.8,618.7,4,19,17,0,Semi-Furnished,1,0,2.51,11.17,0.9,4.91,40.1,11247377,12281
91,Bangalore,Mid,2,2,845.3,591.1,6,21,7,1,Semi-Furnished,1,0,6.27,14.77,1.48,2.86,60,8131046,9619
92,Mumbai,Mid,3,3,1145.2,832.1,7,10,9,1,Semi-Furnished,1,1,0.2,16.19,2.46,0.9,31.7,18310709,15989
93,Bangalore,Premium,2,2,926.8,675.9,19,22,3,0,Unfurnished,1,0,0.57,10.46,4.65,0.3,30,11622479,12540
94,Hyderabad,Mid,3,3,1535.4,1136.1,0,15,14,0,Semi-Furnished,1,1,0.2,13.32,2.95,2.18,36.7,10564629,6881
95,Mumbai,Premium,2,2,1107.7,736.4,10,18,3,1,Semi-Furnished,1,0,0.2,6.71,1.18,3.48,14.3,20387497,18405
96,Hyderabad,Mid,1,2,583.4,417.8,14,17,3,1,Unfurnished,1,1,0.26,9.35,2.01,2.21,53,4165202,7140
97,Bangalore,Mid,2,2,773,606.7,9,15,2,1,Unfurnished,1,1,0.6,30.86,2.89,1.19,59.1,6249292,8084
98,Nagpur,Mid,2,2,1057.9,702.9,0,10,7,0,Fully-Furnished,1,1,4.6,4.45,4.02,0.68,41.9,5971554,5645
99,Hyderabad,Mid,1,1,540.2,452.8,5,12,11,1,Unfurnished,1,0,1.5,16.86,2.85,4.35,22.5,3192969,5911
100,Pune,Mid,2,2,971.8,824.1,10,16,6,0,Semi-Furnished,1,1,2.85,8.72,3.83,5.18,33.2,9131463,9396
101,Hyderabad,Mid,2,2,962.5,722.9,6,15,17,1,Unfurnished,1,1,0.2,5.02,0.35,3.05,30.8,6722829,6985
102,Pune,Premium,3,3,1350.8,892.9,4,11,5,1,Semi-Furnished,1,1,4.33,1.49,3.03,2.61,29.6,14242949,10544
103,Nagpur,Mid,1,2,512.9,407.8,4,4,3,1,Unfurnished,0,1,6.84,18.35,2.25,3.14,21.9,2267023,4420
104,Bangalore,Budget,2,3,1010.6,752.9,12,12,3,1,Unfurnished,1,0,0.2,17.3,3.13,5.5,61,6452368,6385
105,Nagpur,Budget,1,1,519,431.4,1,6,13,0,Unfurnished,1,0,3.37,26.15,2.04,2.47,65.3,1578486,3041
106,Pune,Mid,2,2,790.1,571.9,10,18,2,1,Unfurnished,1,0,1.43,23.63,1.41,2.05,34,6574533,8321
107,Mumbai,Mid,4,4,1332.2,1045.6,4,13,20,0,Fully-Furnished,1,1,0.2,15.29,3.89,1.32,39.1,19420438,14578
108,Nagpur,Mid,1,1,501.5,330.7,0,11,7,1,Unfurnished,1,1,7.39,14.63,1.19,4.08,23.1,1999111,3986
109,Mumbai,Mid,2,2,903.4,683,2,14,9,1,Semi-Furnished,1,1,1.96,17.27,3.96,3.12,45.9,14401290,15941
110,Bangalore,Budget,3,3,1150.1,873.4,0,19,2,0,Fully-Furnished,1,0,0.2,23.75,5.93,4.92,54.9,9194618,7995
111,Pune,Mid,1,2,581.5,436.4,10,10,8,0,Fully-Furnished,1,1,0.54,15.23,4.37,2.31,48.6,4102160,7054
112,Pune,Premium,3,4,1100.9,773.6,5,19,10,1,Fully-Furnished,1,1,2.5,11.96,1.92,0.63,35.7,12299396,11172
113,Mumbai,Premium,4,4,1819,1523.2,1,9,1,0,Semi-Furnished,1,1,1.15,6.15,2.96,2.15,33.3,34119814,18757
114,Mumbai,Premium,2,2,906.1,623.9,13,18,6,1,Unfurnished,1,1,1.82,1.08,3.03,3.29,27,18230374,20120
115,Pune,Budget,2,3,914.2,673.7,10,14,15,0,Semi-Furnished,1,0,0.2,9.71,4.73,3.61,49.9,6318675,6912
116,Hyderabad,Premium,2,2,953.6,705.3,12,15,9,1,Fully-Furnished,1,1,2.61,12.64,1.85,1.07,28.7,9167621,9614
117,Mumbai,Mid,2,2,1015.4,712.1,0,30,10,0,Unfurnished,1,1,4.02,15.91,2.69,2.53,69,14651383,14429
118,Hyderabad,Premium,3,4,1195.3,899.4,11,14,10,1,Unfurnished,1,0,0.2,10,2.61,1.16,22.8,10560060,8835
119,Nagpur,Mid,3,4,1340.7,895,14,24,4,1,Unfurnished,1,1,4.67,6.7,2.86,3.67,47.1,7097167,5294
120,Bangalore,Mid,3,2,1099.6,879.4,17,18,7,1,Unfurnished,1,1,0.2,8.41,2.84,3.24,23.4,10375749,9436
121,Bangalore,Mid,2,2,880.9,639.3,5,21,6,0,Unfurnished,1,1,3.46,18.74,4.35,5.49,33.3,7130502,8095
122,Hyderabad,Mid,3,2,1263.9,976.3,14,14,3,0,Unfurnished,1,1,2.05,27.12,3.38,1.49,29.1,8916716,7055
123,Mumbai,Premium,4,4,1515.9,1073.9,4,24,2,1,Fully-Furnished,1,1,1.39,3.53,3.2,0.75,27.2,30579832,20173
124,Bangalore,Mid,2,2,926.6,713.2,15,21,6,1,Unfurnished,1,1,2.72,18.74,2.54,0.42,37.4,7543203,8141
125,Mumbai,Mid,1,1,350,250,3,27,4,1,Unfurnished,1,0,2.23,16.75,3.64,6.19,51.7,4078794,11654
126,Mumbai,Premium,3,3,1424.7,945,18,31,1,1,Fully-Furnished,1,1,0.63,0.5,2.24,1.51,47.4,28622979,20091
127,Nagpur,Premium,4,4,1979.2,1637.4,11,12,4,1,Semi-Furnished,1,1,6.28,15.55,1.81,0.3,33.2,14625508,7390
128,Bangalore,Premium,3,3,1017.1,691.8,13,18,3,1,Fully-Furnished,0,1,4.46,13.06,1.57,0.3,26.1,12930543,12713
129,Nagpur,Mid,2,3,980.9,754.6,9,13,9,0,Unfurnished,1,1,7.14,21.26,4.68,1.6,38.5,4561679,4651
130,Bangalore,Premium,2,2,804.6,672.9,9,12,5,1,Fully-Furnished,1,0,0.2,11.03,1.85,2.08,25.3,10407110,12935
131,Bangalore,Mid,3,3,1008.7,789.7,16,24,4,1,Semi-Furnished,1,1,0.62,7.04,2.58,2.1,47.9,10658987,10567
132,Hyderabad,Mid,3,3,1002.9,706.7,9,12,6,0,Unfurnished,1,1,3.72,5.35,4.43,1.96,35.7,7884614,7862
133,Nagpur,Mid,2,3,852.9,578.8,2,16,5,1,Unfurnished,1,1,4.2,7.89,2.51,1.66,32.2,4864505,5703
134,Mumbai,Budget,3,4,1104.3,764.5,8,22,26,1,Fully-Furnished,1,0,0.69,16.79,4.45,2.84,50.9,14394652,13035
135,Pune,Mid,1,1,466.9,381.6,0,13,4,1,Unfurnished,1,1,0.58,14.1,2.28,3.46,47.8,3551695,7607
136,Bangalore,Mid,3,4,1208,1016.7,3,14,9,1,Semi-Furnished,1,1,4.26,19.09,2.8,4.14,35,11140036,9222
137,Pune,Mid,2,2,663.2,468.9,20,20,9,1,Semi-Furnished,1,0,2.22,23.13,3.89,2.57,36,4600541,6937
138,Bangalore,Budget,1,1,550.7,449,0,21,0,0,Fully-Furnished,1,1,0.2,18.72,6.07,4.96,54.3,3601140,6539
139,Pune,Premium,3,4,1286.7,1066.2,12,13,1,0,Fully-Furnished,1,1,2.32,10.88,1.42,3.3,27.5,12950660,10065
140,Mumbai,Mid,2,2,718.7,594.6,2,16,5,0,Unfurnished,1,1,4.48,22.61,3.23,3.06,55.3,9432472,13124
141,Nagpur,Mid,2,2,704.6,498.6,21,21,17,0,Unfurnished,1,1,6.53,8.22,4.45,1.61,51.7,3464923,4918
142,Bangalore,Budget,1,1,643.1,520.7,1,21,5,0,Semi-Furnished,1,0,3.98,15.06,4.14,1.32,65.4,3610235,5614
143,Hyderabad,Mid,2,3,803.1,651.4,8,13,0,1,Unfurnished,1,1,0.2,2.86,2.79,4.3,34.3,7196115,8960
144,Pune,Budget,3,3,1167.2,825.3,1,21,19,0,Fully-Furnished,1,0,1.51,19.67,5.17,5.69,51.7,7403483,6343
145,Nagpur,Mid,2,2,795.3,629.8,9,17,18,1,Unfurnished,1,0,6.57,2.61,1.81,2.97,36.1,3998067,5027
146,Bangalore,Mid,3,3,1145,782.7,10,11,5,1,Unfurnished,1,0,2.88,10.07,4.52,2.35,46.9,10142590,8858
147,Bangalore,Mid,2,1,949,650.1,15,17,4,1,Unfurnished,1,1,0.2,21.72,1.26,1.56,41.4,8683641,9150
148,Nagpur,Mid,3,3,1309,1091.5,5,14,1,1,Semi-Furnished,1,1,0.2,16.4,3.16,2.84,41.5,6750438,5157
149,Hyderabad,Mid,3,3,1267.2,858,15,19,9,1,Semi-Furnished,1,0,0.2,11.78,2.6,5.58,29.4,10315033,8140
150,Nagpur,Budget,2,2,856.5,673.1,1,9,25,0,Unfurnished,1,0,6.04,9.34,5.19,5.46,50.3,2665016,3112
151,Nagpur,Mid,1,1,443.1,313.1,4,15,12,1,Fully-Furnished,1,1,2.93,4.3,3.87,2.24,35.1,3021541,6819
152,Mumbai,Mid,2,3,962.3,749.3,7,17,5,1,Unfurnished,1,0,4.51,7.93,2.01,3.7,52.7,13444807,13972
153,Hyderabad,Mid,2,2,851.5,608.1,3,13,5,1,Unfurnished,1,1,2.65,12.45,2.03,2.64,51.7,5933776,6969
154,Bangalore,Budget,1,2,423.6,277,11,11,6,1,Unfurnished,1,0,0.2,16.79,4.74,5.05,63.4,2178132,5142
155,Mumbai,Budget,1,1,542.3,458.9,18,28,25,1,Semi-Furnished,0,1,1.28,22.96,4.47,4.32,67,5249672,9680
156,Bangalore,Budget,1,2,506.1,400.3,9,15,6,0,Unfurnished,1,1,1.99,28.21,2.81,6.21,54.4,2325655,4595
157,Bangalore,Premium,3,4,1132.5,818.8,7,13,9,1,Semi-Furnished,1,1,0.2,3.93,0.2,2.36,5.6,13793344,12180
158,Hyderabad,Premium,2,2,996.5,806.9,12,20,6,1,Fully-Furnished,1,1,0.2,6.01,2.31,2.07,21.4,11082439,11121
159,Mumbai,Mid,2,2,987.3,697.7,11,11,5,0,Semi-Furnished,1,0,2.59,6.81,2.22,5.64,42,15521348,15721
160,Pune,Premium,3,4,1097,726.4,2,10,7,1,Semi-Furnished,1,0,2.05,12.8,0.2,1.76,20.5,13205411,12038
161,Mumbai,Budget,2,1,709.2,472.9,11,16,20,1,Fully-Furnished,1,1,4.7,21.36,4.31,5.02,66.7,7478743,10545
162,Pune,Premium,2,1,670.2,512.1,10,17,7,1,Semi-Furnished,1,1,0.2,9.83,1.83,0.3,42.1,7592276,11328
163,Bangalore,Premium,2,2,896.7,748.6,8,19,1,1,Fully-Furnished,1,1,1.11,17.27,2.11,0.35,23.5,10162142,11333
164,Mumbai,Mid,2,3,1075.8,889.2,13,30,5,1,Unfurnished,1,0,4,12,3.63,5.75,26.5,17969725,16704
165,Pune,Mid,2,2,979.9,659.2,3,12,9,1,Semi-Furnished,1,1,0.2,16.27,1.33,5.1,46,7365069,7516
166,Pune,Mid,1,2,460.4,387.6,12,15,7,0,Unfurnished,1,0,1.78,16.92,2.68,1.83,41.3,2971817,6455
167,Bangalore,Premium,3,3,1194,814.8,17,21,15,1,Unfurnished,1,1,0.2,5.29,1.27,1.54,21.3,13303368,11142
168,Hyderabad,Budget,2,2,868.7,630.1,5,15,13,0,Semi-Furnished,1,0,3.04,10.57,5.32,2.8,54.9,4970214,5721
169,Pune,Premium,2,2,924.8,611.6,6,12,1,0,Semi-Furnished,1,1,3.37,4.01,0.86,4.76,16.7,11399687,12327
170,Bangalore,Mid,4,4,1593.5,1312.1,7,23,8,1,Semi-Furnished,1,1,1.97,9.12,4.26,5.26,49.8,14626189,9179
171,Pune,Premium,1,1,467.6,364.5,4,15,9,1,Fully-Furnished,1,1,2.24,3.64,2.6,1.26,28.5,5063257,10828
172,Mumbai,Premium,2,3,958,735.8,9,17,24,1,Semi-Furnished,1,1,1.27,13.01,3.93,2.53,30.7,19160989,20001
173,Mumbai,Mid,2,2,1188.6,895.8,6,11,8,0,Unfurnished,1,1,0.2,16.04,2.06,1.72,30.1,18140986,15262
174,Pune,Budget,3,4,985.8,749.8,2,15,14,1,Unfurnished,1,1,2.88,23.39,2.16,2.63,47.8,6357951,6450
175,Pune,Premium,2,2,772.5,523.8,6,19,5,1,Semi-Furnished,1,0,3.71,6.16,2.31,1.72,32.8,8128898,10523
176,Mumbai,Premium,3,3,1355.6,905.6,14,23,9,1,Semi-Furnished,1,1,1.67,16.56,0.2,0.3,30.6,28644779,21131
177,Pune,Mid,4,3,1825.6,1209.2,6,12,2,0,Semi-Furnished,1,1,3.32,18.45,1.42,4.56,33.5,14960546,8195
178,Mumbai,Mid,3,3,1047.5,858.3,11,19,15,1,Unfurnished,1,0,0.21,16.05,4.77,1.77,38.6,17249225,16467
179,Pune,Mid,2,2,942.7,632.3,6,14,3,1,Unfurnished,1,1,0.2,2.5,3.95,0.3,34.3,8689818,9218
180,Bangalore,Mid,3,4,1138.9,873.6,8,11,14,1,Unfurnished,1,0,2.61,11.03,2.1,3.87,46.4,10790467,9474
181,Pune,Premium,4,5,1891.6,1338.1,14,29,9,1,Fully-Furnished,1,1,1.15,11.89,1.97,3.72,36.6,18809735,9944
182,Hyderabad,Budget,1,1,529.3,412.7,17,18,15,0,Fully-Furnished,1,0,1.54,18.43,3.76,1.36,51,2086474,3942
183,Bangalore,Premium,2,2,724.2,584.7,1,22,11,1,Unfurnished,1,1,0.2,11.24,1.88,2.79,36.3,8517788,11762
184,Bangalore,Budget,1,2,515.4,368.9,17,19,10,0,Unfurnished,1,1,1.56,12.31,3.46,4.42,56.2,3138971,6090
185,Hyderabad,Mid,2,2,834.3,707.6,4,13,6,1,Semi-Furnished,1,1,2.35,13.56,2.77,2.3,26.5,6244275,7484
186,Pune,Budget,2,2,963,704.9,9,9,8,0,Semi-Furnished,1,0,3.6,15.72,1.98,2.25,62.1,6106383,6341
187,Bangalore,Mid,2,2,662.9,511.8,11,19,1,0,Unfurnished,1,0,1.52,21.37,2.66,4.49,32.2,5657955,8535
188,Hyderabad,Mid,2,3,985.6,835.4,17,21,6,0,Semi-Furnished,1,1,0.93,14.6,5.11,5.78,42.5,7239293,7345
189,Pune,Premium,2,2,1005.7,663.5,0,14,10,1,Semi-Furnished,1,1,0.2,9.42,1.53,3.28,29,10191623,10134
190,Pune,Mid,2,3,1047.1,859.1,10,21,14,1,Semi-Furnished,1,1,2.72,6.15,0.23,2.69,53.4,9094591,8686
191,Nagpur,Premium,5,6,2430.8,1814.8,3,14,7,1,Semi-Furnished,1,1,6.88,9.45,1.75,3.6,38.8,18123434,7456
192,Hyderabad,Mid,3,4,1071.4,780.1,7,22,7,1,Fully-Furnished,1,1,0.25,5.64,4.09,3.5,39,8830074,8242
